,name,rebuttal,len_rebuttal
0,Tapper,"We're live Ronald Reagan Presidential Library Simi Valley, California one highly anticipated primary season debates ever. On stage 15 candidates two rounds questioning one goal, show takes Republican Presidential Nominee. Welcome viewers, I'm Jake Tapper. Tonight's debate airing CNN networks around world, and, course, United States. It's also broadcast across country Salmen (ph) Radio Network. We want thank host, former First Lady Nancy Reagan, Reagan Library impressive setting, Air Force One pavilion. Behind me, can see actual plane...",78
1,Tapper,"...That Ronald Reagan flew president. Now, GOP field large, divided candidates two groups based rankings recent national polls. Later evening will hear top 11 contenders. The four candidates taking part first round, ready join us now. Senator Lindsey Graham South Carolina. [Read more: Live updates: Republican Presidential debate] Louisiana Governor, Bobby Jindal. The former U.S. Senator Pennsylvania, Rick Santorum. former New York Governor, George Pataki. Ladies gentleman, please welcome Republican candidates President United States. And, now, would, please rise national anthem performed actress singer, Natalie Hill.",86
2,Tapper,"I'd like ask candidates please take podiums I tell little tonight debate will work. I'm Jake Tapper. I'll moderator. Joining questioning, Salem Radio Network talk show host Hugh Hewitt; worked Reagan administration six years CNN's chief political correspondent, Dana Bash.",40
3,Tapper,"I will follow guide discussion; candidates, I'll try make sure gets fair share questions. You'll one minute answer questions 30 seconds followups rebuttals. I'll give time respond singled criticism. We timing lights visible candidates. Those lights will warn time up. Our goal tonight true debate, candidates actually addressing areas disagree, differ policy, politics leadership. Now everyone place, time candidates introduce audience. Please keep brief. Governor Pataki, first.",67
4,Pataki,"Thank you, Jake. Hi, I'm George Pataki, I honored afternoon Reagan Library. You know, I think Ronald Reagan, I think tremendous smile, smile reflected optimism unending belief faith America Americans. And belief America led great presidency, presidency led decades safety, security prosperity America. That's exactly type leadership need Washington today I'm running President United States. Thank you.",57
5,Santorum,"Hi, I'm Rick Santorum. Some may know I led fight end partial birth abortion. Some may know I led fight end welfare know it, put people back work, reduce poverty reduce federal budget. Some may know I successfully put sanctions Iranian nuclear program Congress, opposition parties initially. But hopefully, know I'm proud father seven children particularly special little disabled girl, heart core heart married wonderful woman named Karen 25 years, love life.",72
6,Jindal,"Hi, I'm Bobby Jindal. Now, look, I famous last name. My daddy run president. I reality TV show. I'll tell I have, I've got backbone, I've got bandwidth, I've got experience get us tough times, make sure turn American dream European nightmare. Thank today.",44
7,Graham,"One, thanks, CNN, people debate. (LAUGHTER)",6
8,Graham,"I'm Lindsey Graham South Carolina, case tell. I want thank Ms. Reagan (ph) inviting me. It means world me. I'm candidate tonight served military Ronald Reagan president commander chief. It one highlights life. I'm running president destroy radical Islam, win war terror, protect family.",44
9,Graham,"And quest, I uncompromising determination win war, just like President Reagan uncompromising determination destroy evil empire, win Cold War. Above others sides isle, I'm qualified commander chief day one -- 33 years Air Force, 35 trips Iraq Afghanistan, I understand war. I plan win it, I intend win it.",49
10,Tapper,"Thank candidates. We're going talk lot policy proposals evening. But first, Governor Jindal, I want start you. You said front runner, Donald Trump, a, quote, ""unstable, narcissistic, ego maniac."" Now, house Reagan, made famous so-called 11th Commandment, ""Thou shalt speak ill thy fellow Republican."" What drove violate unofficial commandment?",49
