,name,rebuttal,len_rebuttal
0,Tapper,"We're live at the Ronald Reagan Presidential Library in Simi Valley, California for one of the most highly anticipated primary season debates ever. On this stage 15 candidates in two rounds of questioning with one goal, to show they have what it takes to be the Republican Presidential Nominee. Welcome to our viewers, I'm Jake Tapper. Tonight's debate is airing on CNN networks around the world, and, of course, here in the United States. It's also being broadcast across the country on the Salmen (ph) Radio Network. We want to thank our host, former First Lady Nancy Reagan, and the Reagan Library for this very impressive setting, the Air Force One pavilion. Behind me, you can see the actual plane...",120
1,Tapper,"...That Ronald Reagan flew in when he was president. Now, because the GOP field is so large, we have divided the candidates into two groups based on their rankings in recent national polls. Later this evening we will hear from the top 11 contenders. The other four candidates are taking part in the first round, and they are ready to join us now. Senator Lindsey Graham of South Carolina. [Read more: Live updates: Republican Presidential debate] Louisiana Governor, Bobby Jindal. The former U.S. Senator from Pennsylvania, Rick Santorum. and former New York Governor, George Pataki. Ladies and gentleman, please welcome these Republican candidates for President of the United States. And, now, if you would, please rise for our national anthem performed by actress and singer, Natalie Hill.",127
2,Tapper,"I'd like to ask the candidates to please take their podiums while I tell you a little more about how tonight debate will work. I'm Jake Tapper. I'll be the moderator. Joining me in the questioning, Salem Radio Network talk show host Hugh Hewitt; he worked in the Reagan administration for six years and CNN's chief political correspondent, Dana Bash.",60
3,Tapper,"I will follow up and guide the discussion; candidates, I'll try to make sure each of you gets your fair share of questions. You'll have one minute to answer questions and 30 seconds for followups and rebuttals. I'll give you time to respond if you have been singled out for criticism. We have timing lights that are visible to the candidates. Those lights will warn them when their time is up. Our goal tonight is to have a true debate, candidates actually addressing each other in areas where they disagree, where they differ on policy, on politics and on leadership. Now that everyone is in place, it's time for the candidates to introduce themselves to our audience. Please keep it brief. Governor Pataki, you're first.",125
4,Pataki,"Thank you, Jake. Hi, I'm George Pataki, and I am honored to be here this afternoon with all of you at the Reagan Library. You know, when I think of Ronald Reagan, I think of his tremendous smile, a smile that reflected his optimism and his unending belief and faith in America and in Americans. And it was that belief in America that led to a great presidency, a presidency that led to decades of safety, security and prosperity for America. That's exactly the type of leadership we need in Washington today and that's why I'm running for President of the United States. Thank you.",105
5,Santorum,"Hi, I'm Rick Santorum. Some of you may know me because I led the fight to end partial birth abortion. Some of you may know me because the I led the fight to end welfare as we know it, put people back to work, reduce poverty and reduce the federal budget. Some of you may know me because I successfully put sanctions on the Iranian nuclear program in Congress, over opposition of both parties initially. But hopefully, most of you know me most because I'm the proud father of seven children with particularly a special little disabled girl, who is the heart and core of my heart and married to a wonderful woman named Karen for 25 years, who is the love of my life.",125
6,Jindal,"Hi, I'm Bobby Jindal. Now, look, I don't have a famous last name. My daddy didn't run for president. I don't have a reality TV show. I'll tell you what I do have, I've got the backbone, I've got the bandwidth, I've got the experience to get us through these tough times, to make sure that we don't turn the American dream into the European nightmare. Thank you for having me today.",72
7,Graham,"One, thanks, CNN, for having people at this debate. (LAUGHTER)",10
8,Graham,"I'm Lindsey Graham from South Carolina, in case you can't tell. I want to thank Ms. Reagan (ph) for inviting me. It means the world to me. I'm the only candidate tonight who served in the military while Ronald Reagan was our president and our commander in chief. It was one of the highlights of my life. I'm running for president to destroy radical Islam, to win the war on terror, to protect you and your family.",77
9,Graham,"And in that quest, I have an uncompromising determination to win this war, just like President Reagan had an uncompromising determination to destroy the evil empire, and win the Cold War. Above all others on both sides of the isle, I'm most qualified to be commander and chief on day one -- 33 years in the Air Force, 35 trips to Iraq and Afghanistan, I understand this war. I have a plan to win it, and I intend to win it.",81
10,Tapper,"Thank you candidates. We're going to talk a lot about policy and your proposals this evening. But first, Governor Jindal, I want to start with you. You have said that the front runner, Donald Trump, is a, quote, ""unstable, narcissistic, ego maniac."" Now, we are in the house of Reagan, who made famous the so-called 11th Commandment, ""Thou shalt not speak ill of thy fellow Republican."" What drove you to violate that unofficial commandment?",74
11,Jindal,"Well, Jake, I'm in compliance with the 11th Commandment, and I would tell my fellow Republicans, let's stop treating Donald Trump like a Republican. If he were really a conservative... If he were really a conservative and 30 points ahead, I would endorse him. He's not a conservative. He's not a liberal. He's not a Democrat. He's not a Republican. He's not an independent. He believes in Donald Trump. Here is the reality, the idea of America is slipping away. Eighteen trillion dollars of debt, Planned Parenthood selling baby parts across our country. Our government is creating a new entitlement program, when we can't afford the government we've got today. We've got a president who won't even say the words radical Islamic terrorism. He has declared war on trans fats and a truce with Iran. Think about that. He's more worried about Twinkies than he is about the ayatollahs having a nuclear weapon. That's what is happening, the idea of America is slipping away. We must not let that happen on our watch. We have a once in a lifetime opportunity to rescue the idea of America, the choice for conservatives. Do we depend on proven conservative principles like Ronald Reagan did, or do we turn this over to a narcissist who only believes in himself...",216
12,Tapper,"Thank you, Governor.",3
13,Jindal,"Thank you, Jake.",3
