,date_time,location,name,text
0,Sat Oct 10 16:00:11 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Dangerous saber-rattling continues. Why do people think deepening
sectarian divides will ever solve anything?
http://t.co/n0K6DwPTwq"
1,Sat Oct 10 13:00:55 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Climate change is a NATIONAL SECURITY ISSUE. You'd think Repubs
would be all over it. @GOP
http://t.co/wXN8DNyxjk #GetGrounded #chafee2016"
2,Fri Oct 09 23:00:08 +0000 2015,Rhode Island,Hillary Rodham Clinton,".#TPP isn't about containing China, it's about American leadership,
international order &amp; our allies. @solis_msolis
http://t.co/cZeAO6dl5i"
3,Fri Oct 09 16:00:13 +0000 2015,Rhode Island,Hillary Rodham Clinton,".@netanyahu's ban is good move to prevent escalation. As things
heat up, we need to cool down #hudna
http://t.co/dceWvnR1oj #chafee2016"
4,Fri Oct 09 13:01:23 +0000 2015,Rhode Island,Hillary Rodham Clinton,Congrats @GovMaryFallin on suspending executions in OK.  US should join the many nations to ban capital punishment. http://t.co/m09qY4eLHP
5,Wed Oct 07 23:00:00 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Mental health is public health, everywhere. Gaza is no exception.
Look out for the kids. Trauma leads to terror
http://t.co/YUJwUFvd3q"
6,Wed Oct 07 20:30:26 +0000 2015,Rhode Island,Hillary Rodham Clinton,"A lot of shouting is going on about the TPP trade deal. Let's
actually read the document and measure its merits before demonizing it."
7,Wed Oct 07 18:01:07 +0000 2015,Rhode Island,Hillary Rodham Clinton,What have we taught Saudis with our drone war? Wedding parties &amp; civilians are NOT targets http://t.co/2YEkV4NNjZ #ProsperitythroughPeace
8,Wed Oct 07 15:30:36 +0000 2015,Rhode Island,Hillary Rodham Clinton,"While I sometimes must sacrifice my grammar for the tweet, I'm glad
my supporters don't on Facebook! @singernews
http://t.co/iHjri3ZSd9"
9,Wed Oct 07 14:34:29 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Trust, cooperation starts with respect and a handshake. @POTUS @JZarif http://t.co/2uTorvlWKa #GetGrounded #Chafee2016"
10,Tue Oct 06 22:00:27 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Hope to see you at the meeting of the Cheshire County Dems tonight in Keene, NH.  #Chafee2016 #ProsperitythroughPeace #NHpolitics"
11,Tue Oct 06 19:00:51 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Good piece by @ConStelz @BrookingsFP ""Why Europe needs America, a little"". We unequivocally need Europe too!
http://t.co/86R6CTwe70"
12,Tue Oct 06 16:00:27 +0000 2015,Rhode Island,Hillary Rodham Clinton,"Looking forward to talking about my campaign w/ residents of RiverWoods today in Exeter, NH. #chafee2016 #ProsperitythroughPeace #nhpolitics"
13,Tue Oct 06 15:08:21 +0000 2015,Rhode Island,Hillary Rodham Clinton,"We cannot accept such racism and apathy in our country.
#HisNameIsCayden and he reminds us for what we fight.
https://t.co/KhfesL8wVL"
