,date_time,location,name,text
0,Sun Oct 11 00:55:09 +0000 2015,New York,Lincoln Chafee,"The Republicans are spending millions to try and stop her, but Hillary will never quit fighting for you.
https://t.co/tgwEW7iFQT"
1,Sun Oct 11 00:46:47 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: A highlight from yesterday was meeting Cherno Biko, whose passion &amp; courage had a powerful impact on all of us. http://t.c…"
2,Sun Oct 11 00:46:19 +0000 2015,New York,Lincoln Chafee,RT @mayaharris_: We had a good meeting yesterday with Hillary and activists from the #BlackLivesMatter movement—grateful to everyone who pa…
3,Sat Oct 10 22:32:00 +0000 2015,New York,Lincoln Chafee,Make history and help shatter one of the highest glass ceilings. Apply to be a Hillary for America intern today: http://t.co/BUjkdhZ3Ak
4,Sat Oct 10 21:13:45 +0000 2015,New York,Lincoln Chafee,"Thank you, @JerryBrownGov. Every state should follow your lead and make it easier to vote.
https://t.co/HWarCEXN8B"
5,Sat Oct 10 20:12:10 +0000 2015,New York,Lincoln Chafee,.@KatyPerry’s coming to Iowa to support Hillary! RSVP for the Des Moines rally here: http://t.co/6Q3mAppXUq https://t.co/yPQwnegc9j
6,Sat Oct 10 18:49:31 +0000 2015,New York,Lincoln Chafee,"This #WorldMentalHealthDay, let's commit to ending stigma and making sure those who seek treatment are supported and taken seriously."
7,Sat Oct 10 16:10:07 +0000 2015,New York,Lincoln Chafee,"Volunteers serenaded Hillary with ""Lean on Me"" to let her know she has friends in the Granite State.
https://t.co/PhLNLLYNxO"
8,Sat Oct 10 13:30:55 +0000 2015,New York,Lincoln Chafee,We can protect the Second Amendment while also protecting our families and communities from gun violence. http://t.co/4UBTUq9Po2
9,Sat Oct 10 00:26:19 +0000 2015,New York,Lincoln Chafee,".@people is right, we can’t give up. It’s time to act on gun violence. https://t.co/YvHxXm9hNm"
10,Fri Oct 09 23:28:32 +0000 2015,New York,Lincoln Chafee,"Last week, Hillary joined @MarcAnthony on stage at his concert in Miami. Thanks for the warm welcome, Marc!
https://t.co/JeTgFK1oBH"
11,Fri Oct 09 22:46:17 +0000 2015,New York,Lincoln Chafee,"¡Gracias @DoloresHuerta por apoyar a Hillary Clinton! Para escuchar el mensaje de Dolores, envía HUERTA al 47246."
12,Fri Oct 09 21:08:32 +0000 2015,New York,Lincoln Chafee,"Racism is America's original sin. To those I met with today, thank you for sharing your ideas. -H https://t.co/ICqYepExxB"
13,Fri Oct 09 20:22:33 +0000 2015,New York,Lincoln Chafee,"Ever sent a kid to college? Hillary talks about how she and Bill handled dropping Chelsea off the first time:
https://t.co/LcqpYLHPDT"
14,Fri Oct 09 13:51:42 +0000 2015,New York,Lincoln Chafee,RT @TheBriefing2016: The reviews are in: Hillary's plan is tough on Wall Street. http://t.co/zdCzv5BEK7 http://t.co/N7Ob4vZesO
15,Fri Oct 09 12:06:05 +0000 2015,New York,Lincoln Chafee,"Thank you, @repjohnlewis. http://t.co/qGmkKWf6UP"
16,Fri Oct 09 02:02:02 +0000 2015,New York,Lincoln Chafee,"If you work on Wall Street and commit a crime, you deserve to go to jail. http://t.co/3ZwT2C7MjG http://t.co/eoA6jneibw"
17,Fri Oct 09 00:55:22 +0000 2015,New York,Lincoln Chafee,"An important question from a young man: “Can you fix the prison problems?”
https://t.co/yDCR348i5G"
18,Fri Oct 09 00:18:08 +0000 2015,New York,Lincoln Chafee,RT @chefjoseandres: Thank you @HillaryClinton for presenting me w/ #CHCI Chair's Medallion Award. I'm in great company tonight! #2015HHM ht…
19,Thu Oct 08 23:57:59 +0000 2015,New York,Lincoln Chafee,Hillary sólo tiene una palabra para los Republicanos que insultan a los latinos: ¡Basta! #CHCI http://t.co/uCG4Y5Tqho
20,Thu Oct 08 23:11:54 +0000 2015,New York,Lincoln Chafee,Hillary at #CHCI to Republican candidates: Basta. Enough. http://t.co/AiJh6ym58S
21,Thu Oct 08 22:50:15 +0000 2015,New York,Lincoln Chafee,RT @chefjoseandres: Excited to attend @CHCI gala tonight and proud to be honored by @HillaryClinton! http://t.co/PWM0Jd4Pbv
22,Thu Oct 08 22:22:58 +0000 2015,New York,Lincoln Chafee,.@NRA Stop taking advantage of responsible gun owners who want commonsense reform—including many of your own members.
23,Thu Oct 08 21:47:32 +0000 2015,New York,Lincoln Chafee,My plan for Wall Street: Hold individuals and corporations accountable. Make tough rules and enforce them. http://t.co/xcG7SxrWl9 -H
24,Thu Oct 08 21:07:15 +0000 2015,New York,Lincoln Chafee,We need to enforce regulations on Wall Street to make sure that the 2008 crisis never happens again. http://t.co/kc2uUT3AxY
25,Thu Oct 08 19:21:29 +0000 2015,New York,Lincoln Chafee,Jeb should stop attacking voting rights and explain what about citizens exercising their right to vote scares him. https://t.co/Xtgz0wcpdl
26,Thu Oct 08 17:33:27 +0000 2015,New York,Lincoln Chafee,How about this @KevinMcCarthy for speaker instead? https://t.co/HAwL2D56xu
27,Thu Oct 08 14:06:30 +0000 2015,New York,Lincoln Chafee,RT @TheBriefing2016: You are missing out if you are not following the campaign on Snapchat! 👻 hillaryclinton http://t.co/b25JJV2uVB http://…
28,Thu Oct 08 12:07:04 +0000 2015,New York,Lincoln Chafee,We need to make sure there’s accountability on Wall Street so there can be prosperity on Main Street.
29,Thu Oct 08 03:39:09 +0000 2015,New York,Lincoln Chafee,"Hillary on standing up to the NRA: “We can’t just say, OK, nothing we can do about it...We have got to fight back.”
https://t.co/kwRJpE13mp"
30,Thu Oct 08 02:29:18 +0000 2015,New York,Lincoln Chafee,"""You were great on Saturday Night Live...so, can you do for us the Donald Trump impression?""
https://t.co/3V4sZMZEY1"
31,Thu Oct 08 00:48:06 +0000 2015,New York,Lincoln Chafee,Pres. Obama's student aid bill of rights is critical given ongoing predatory practices by student loan servicers. http://t.co/TG9oleEMje -H
32,Thu Oct 08 00:05:17 +0000 2015,New York,Lincoln Chafee,It’s time to end discrimination against LGBT Americans once and for all. http://t.co/9gcJwDFS1Y
33,Wed Oct 07 23:41:59 +0000 2015,New York,Lincoln Chafee,"Stop the delay, price gouging, and profiting off of others' illnesses. Tell @MartinShkreli to drop the price now. http://t.co/HOS4OXq1ES -H"
34,Wed Oct 07 22:09:16 +0000 2015,New York,Lincoln Chafee,Hillary's statement on the Trans-Pacific Partnership: http://t.co/dL3f5cCvFP
35,Wed Oct 07 20:22:42 +0000 2015,New York,Lincoln Chafee,Diversity is a source of strength and should be celebrated—not denigrated. Proud to launch Latinos for Hillary. http://t.co/FNjXs45QFK
36,Wed Oct 07 19:22:15 +0000 2015,New York,Lincoln Chafee,"""An act of high political courage."" @NYDailyNews on Hillary's gun violence prevention plan. http://t.co/d66WkBOw32"
37,Wed Oct 07 18:35:26 +0000 2015,New York,Lincoln Chafee,Republicans say they don’t think Hillary has accomplished anything—so she sent them a gift. http://t.co/nO5hZUCEkI http://t.co/EJerPjx4TX
38,Wed Oct 07 17:52:51 +0000 2015,New York,Lincoln Chafee,RT @lightner13: @HillaryClinton my daughter @sophiee158 apparently has a new BFF http://t.co/kYuEQ6NG1q
39,Wed Oct 07 16:53:11 +0000 2015,New York,Lincoln Chafee,"RT @HillaryforIA: Applause from students: ""The federal government shouldn't be making a profit off student debt. That is wrong."" http://t.c…"
40,Wed Oct 07 16:09:41 +0000 2015,New York,Lincoln Chafee,"RT @KevinMcCarthy: .@GOPLeader I've got some tweets meant for you recently. Something about ""partisan hit jobs."" Found out why! https://t.c…"
41,Wed Oct 07 15:41:06 +0000 2015,New York,Lincoln Chafee,"Sorry about the mean tweets you’ve been getting, @KevinMcCarthy—been there! https://t.co/HAwL2D56xu"
42,Wed Oct 07 13:54:26 +0000 2015,New York,Lincoln Chafee,"RT @TheBriefing2016: Two out of two Kevin McCarthys agree: @housebenghazi is a taxpayer-funded, partisan sham.
https://t.co/iJQ7nVc09S"
43,Wed Oct 07 12:07:04 +0000 2015,New York,Lincoln Chafee,Add your name if you think it’s time to take action on gun violence: http://t.co/d5G3nBLwbw http://t.co/L2y4gtp9pO
44,Wed Oct 07 02:25:10 +0000 2015,New York,Lincoln Chafee,RT @lucyhighlnd: @HillaryClinton 's snapchat is 🔥🔥🔥 http://t.co/v6hWNHDhoL
45,Wed Oct 07 01:29:19 +0000 2015,New York,Lincoln Chafee,We need comprehensive immigration reform with a real path to full citizenship. There is no place in America for second-class citizenship.
46,Wed Oct 07 00:12:04 +0000 2015,New York,Lincoln Chafee,"Thank you, @wendydavis. http://t.co/JWPxdyaBr2"
47,Tue Oct 06 23:13:20 +0000 2015,New York,Lincoln Chafee,"We must act to stop gun violence, and we cannot wait any longer. http://t.co/3Qiew1BXiU"
48,Tue Oct 06 22:46:34 +0000 2015,New York,Lincoln Chafee,"RT @Ann_OLeary: On road to nat'l paid family leave, we need local leadership. Congrats DC for introducing robust paid leave bill!
 http://t…"
49,Tue Oct 06 21:24:36 +0000 2015,New York,Lincoln Chafee,RT @anotherround: Tune in next week! http://t.co/xSlzfR8ySg
50,Tue Oct 06 20:55:02 +0000 2015,New York,Lincoln Chafee,"Hillary’s commonsense steps will help reduce gun violence and save lives, say @GabbyGiffords and @ShuttleCDRKelly. http://t.co/Q6kczch6Cy"
51,Tue Oct 06 20:27:03 +0000 2015,New York,Lincoln Chafee,RT @TheBriefing2016: Hats all the Republican presidential candidates can wear. http://t.co/YV5MqXWpy3 http://t.co/RUEroPbVqR
52,Tue Oct 06 19:29:00 +0000 2015,New York,Lincoln Chafee,"Watch Hillary talk about the best advice her mom ever gave her.
https://t.co/NEbs67GSSn"
53,Tue Oct 06 18:22:58 +0000 2015,New York,Lincoln Chafee,Being a good parent has nothing to do with sexual orientation or gender identity. http://t.co/q7Qg338Oln
54,Tue Oct 06 16:38:18 +0000 2015,New York,Lincoln Chafee,"RT @TheBriefing2016: The law has special protections to shield the gun industry from responsibility.

It's time for that to change.

http:/…"
55,Tue Oct 06 14:05:57 +0000 2015,New York,Lincoln Chafee,"As Republicans spend millions of taxpayer dollars fighting Hillary, she does what she's always done: fight for you.
https://t.co/jIEaUbIU5Q"
56,Tue Oct 06 12:07:02 +0000 2015,New York,Lincoln Chafee,"“It's time for us to say, we're better than this."" Hillary's plan to prevent gun violence: http://t.co/2DB7SLJujT http://t.co/xhJW1eY9sB"
57,Tue Oct 06 01:08:38 +0000 2015,New York,Lincoln Chafee,Protecting communities should be our number one priority—not the interests of the NRA. http://t.co/FkAaMqJSNN
58,Mon Oct 05 23:15:52 +0000 2015,New York,Lincoln Chafee,"🎵Voy a reir, voy a bailar... 🎵Lanzando Latinos por Hillary con @MarcAnthony. http://t.co/XDyR0defEF"
59,Mon Oct 05 21:58:02 +0000 2015,New York,Lincoln Chafee,"RT @GabbyGiffords: Voters deserve to know how candidates will reduce gun violence. Thanks for sharing your plan, @HillaryClinton. http://t.…"
60,Mon Oct 05 21:27:25 +0000 2015,New York,Lincoln Chafee,"Nicole Hockley—mother of Sandy Hook victim Dylan and founder of @sandyhook—joined Hillary's gun violence town hall.
https://t.co/E1fzpdk69d"
61,Mon Oct 05 20:20:18 +0000 2015,New York,Lincoln Chafee,"RT @CoreyCiorciari: No @JebBush ""stuff"" doesnt just ""happen."" We choose to let it happen. @HillaryClinton's plan to act on gun violence: ht…"
62,Mon Oct 05 19:09:46 +0000 2015,New York,Lincoln Chafee,"We must act to stop gun violence, and we cannot wait any longer. http://t.co/6l4LntGWh1"
63,Mon Oct 05 18:43:56 +0000 2015,New York,Lincoln Chafee,We cannot sit by while more people die. http://t.co/oeWiP3rg4Z
64,Mon Oct 05 18:20:40 +0000 2015,New York,Lincoln Chafee,"When it comes to preventing gun violence, we cannot give up. http://t.co/6zFlkLenGI"
65,Mon Oct 05 18:01:08 +0000 2015,New York,Lincoln Chafee,It’s time to act on gun violence. http://t.co/V6RP1utuy3
66,Mon Oct 05 17:19:40 +0000 2015,New York,Lincoln Chafee,RT @Elizabeth_Esty: I commend @HillaryClinton on her plan to fight for commonsense reforms to prevent gun violence. Read her plan: https://…
67,Mon Oct 05 16:23:35 +0000 2015,New York,Lincoln Chafee,"If Congress refuses to act to end this epidemic of gun violence, I'll take administrative action to do so. -H"
68,Mon Oct 05 16:22:10 +0000 2015,New York,Lincoln Chafee,"As president, I'll push to close background check loopholes like the ""Charleston loophole"" that let the shooter get a gun. -H"
69,Mon Oct 05 16:21:16 +0000 2015,New York,Lincoln Chafee,"It's time to act on gun violence. We simply cannot accept as normal 33,000 gun deaths a year. -H"
70,Mon Oct 05 14:57:24 +0000 2015,New York,Lincoln Chafee,RT @HillaryforNH: Military-style assault weapons do not belong on our streets.
71,Mon Oct 05 14:54:09 +0000 2015,New York,Lincoln Chafee,"""It’s time for us to say, wait a minute. We’re better than this. Our country is better than this."" —Hillary on gun violence"
72,Mon Oct 05 14:43:26 +0000 2015,New York,Lincoln Chafee,Watch live: Hillary unveils her gun violence prevention policy in New Hampshire → http://t.co/VfohmlYfvs
73,Mon Oct 05 14:15:17 +0000 2015,New York,Lincoln Chafee,Hillary believes it’s time to act on gun violence. Read her plan here: http://t.co/2DB7SM15It
74,Mon Oct 05 12:34:48 +0000 2015,New York,Lincoln Chafee,RT @TODAYshow: .@HillaryClinton Town Hall will be live-streamed on http://t.co/LaKO1WT1YZ. Link http://t.co/EaRJgATOiG #HillaryTODAY http:/…
75,Mon Oct 05 12:18:35 +0000 2015,New York,Lincoln Chafee,RT @TODAYshow: .@HillaryClinton on gun violence in America. #HillaryTODAY http://t.co/cdC8OmHfiq
76,Mon Oct 05 11:47:36 +0000 2015,New York,Lincoln Chafee,"RT @HillaryforNH: #HillaryTODAY Town Hall is live from Hollis, NH! http://t.co/6p1s2UdUt1"
77,Mon Oct 05 11:00:26 +0000 2015,New York,Lincoln Chafee,"Tune in to @todayshow for Hillary’s live town hall with @savannahguthrie, starting at 7:30 AM ET. #HillaryTODAY"
78,Sun Oct 04 23:30:54 +0000 2015,New York,Lincoln Chafee,"In this week's Facebook Q&amp;A, Hillary took on Jeb’s claim that Democrats use ""free stuff"" to appeal to minorities. http://t.co/nx2FrUKl5G"
79,Sun Oct 04 21:47:21 +0000 2015,New York,Lincoln Chafee,"With the dangerous weather hitting South Carolina, please stay safe first and foremost. Take care, @HillaryforSC, and all affected. -H"
80,Sun Oct 04 21:27:39 +0000 2015,New York,Lincoln Chafee,LGBT rights are human rights and human rights are LGBT rights -- period. http://t.co/Plj2NjuRHD
81,Sun Oct 04 20:16:50 +0000 2015,New York,Lincoln Chafee,"Hillary finally gets to meet the mischievous, trash-eating puppy from the campaign launch video, “Getting Started.” http://t.co/B6YQEu7JkT"
82,Sun Oct 04 18:07:18 +0000 2015,New York,Lincoln Chafee,We can’t wait any longer to act on gun violence prevention. http://t.co/EZrJVtu8OC
83,Sun Oct 04 17:11:40 +0000 2015,New York,Lincoln Chafee,"RT @nbcsnl: Seriously impressed that @HillaryClinton has a Donald Trump impression. #SNL
https://t.co/NG58ODB6oA"
84,Sun Oct 04 13:07:49 +0000 2015,New York,Lincoln Chafee,"""Let us then tap our fists in friendship."" http://t.co/RkRru8dqNE"
85,Sun Oct 04 03:58:47 +0000 2015,New York,Lincoln Chafee,A vote for Hillary is a vote for four more years of Kate McKinnon's impression. #citizens http://t.co/8WFlf1dy9n
86,Sat Oct 03 23:58:31 +0000 2015,New York,Lincoln Chafee,RT @mayaharris_: .@HillaryClinton @HRC: 19 #transgender women murdered in 2015—primarily women of color. We have to end the “crisis of tran…
87,Sat Oct 03 23:47:10 +0000 2015,New York,Lincoln Chafee,“Congress must pass the Federal Equality Act.” Read Hillary’s remarks to the @HRC: http://t.co/k4uMCAwp61
88,Sat Oct 03 21:06:59 +0000 2015,New York,Lincoln Chafee,Hillary on the epidemic of gun violence. http://t.co/FkAaVf0WpC
89,Sat Oct 03 20:32:04 +0000 2015,New York,Lincoln Chafee,Grateful to have @NEAtoday on Team Hillary. Educators are the frontline fighters building a stronger America. http://t.co/cdBeoumR8v
90,Sat Oct 03 20:11:25 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: ""I hope the United States joins many other countries that let transgender people serve openly."" - @HillaryClinton http://t…"
91,Sat Oct 03 19:49:54 +0000 2015,New York,Lincoln Chafee,"RT @mayaharris_: .@HillaryClinton: Time to upgrade military service records of those forced out for being gay, so they get ""honorable disch…"
92,Sat Oct 03 19:27:53 +0000 2015,New York,Lincoln Chafee,"""Congress must pass the Federal Equality Act [to] finally outlaw discrimination against LGBT people basically everywhere."" -Hillary"
93,Sat Oct 03 19:23:22 +0000 2015,New York,Lincoln Chafee,"""It’s outrageous that, in 2015, you can still be fired for being gay...this kind of discrimination goes against everything we stand for."""
94,Sat Oct 03 19:20:12 +0000 2015,New York,Lincoln Chafee,"""As President, I will push to cut off federal funding for any public child welfare agency that discriminates against LGBT people."" -Hillary"
95,Sat Oct 03 19:18:10 +0000 2015,New York,Lincoln Chafee,"""Eleven states ban same-sex couples and LGBT individuals from adopting....one of the cruelest vestiges of anti-gay bigotry."" -Hillary"
96,Sat Oct 03 19:15:05 +0000 2015,New York,Lincoln Chafee,"""We need to say with one voice that transgender people are valued, they are loved, they are us"" -Hillary at @HRC today"
97,Sat Oct 03 17:21:00 +0000 2015,New York,Lincoln Chafee,La riqueza de la comunidad latina es su gran diversidad. Estamos orgullosos de lanzar Latinos por Hillary. http://t.co/qSx4bqzeqU
98,Sat Oct 03 15:31:15 +0000 2015,New York,Lincoln Chafee,"Hillary finally gets to meet the mischievous, trash-eating puppy from the campaign launch video, “Getting Started.”
https://t.co/Hiz2r7qRou"
99,Sat Oct 03 14:43:29 +0000 2015,New York,Lincoln Chafee,"Today the Immigration and Nationality Act turns 50. It was a first step towards making our system fair, but our work remains unfinished."
100,Sat Oct 03 04:11:11 +0000 2015,New York,Lincoln Chafee,"RT @MarcAnthony: This election is important for the future of the Latino community, our vote could make the difference @HillaryClinton http…"
